ID,상임위,소관,세부사업,내역사업,지역성사업,예산,A,B,C
BG001,보건복지위원회,보건복지부,아동수당 지급,아동수당 급여,0,235302,0,0,0
BG002,교육위원회,교육부,국립대학 수익형 민간 투자사업(BTO)소송 관련 지급금,0,1,85000,0,0,0
BG003,환경노동위원회,환경부,하수관로정비,서울 노후하수관로 정비,1,39100,0,1,0
BG004,국토교통위원회,국토교통부,도시철도 노후시설 개선지원,서울지하철 1-4호선 시설개량,1,30800,0,0,0
BG005,교육위원회,교육부,사립대학 시간강사 처우개선,0,0,15233,0,0,0
BG006,환경노동위원회,환경부,지하역사공기질 개선대책,노후역사 환경개선공사,0,11500,0,0,0
BG007,국토교통위원회,국토교통부,도시철도 노후시설 개선지원,부산도시철도 1호선 시설개량,1,10600,0,0,0
BG008,보건복지위원회,보건복지부,보육교직원 인건비 및 운영지원,교사겸직원장 지원비,0,9267,0,0,0
BG009,국토교통위원회,국토교통부,문산-도라산 고속도로,0,1,9200,0,0,0
BG010,농림축산식품해양수산위원회,해양수산부,서귀포 크루즈항 건설,0,1,9000,0,0,0
BG011,보건복지위원회,보건복지부,장사시설설치,함백산 메모리얼파크 건립,1,7000,0,1,1
BG012,국토교통위원회,행정중심복합도시건설청,오송-조치원 연결도로,0,1,7000,0,0,0
BG013,정무위원회,사회적참사 특별조사위원회,인건비(총액),0,0,6285,0,1,0
BG014,국토교통위원회,국토교통부,주차환경개선지원,부산 북구 구포가축시장 공영주차장 조성,1,6000,0,0,1
BG015,국방위원회,방위사업청,MUAV(R&D),0,0,5519,0,0,0
BG016,국방위원회,국방부,일반지원시설,GP 시범철수,0,5102,0,0,0
BG017,국방위원회,방위사업청,대함유도탄방어유도탄 2차,0,0,5000,0,0,0
BG018,문화체육관광위원회,문화체육관광부,관광자원개발(지역자율),부산형 테마거리 탐방로 안내체계 구축,1,5000,0,0,0
BG019,국토교통위원회,국토교통부,재정비촉진사업지원,대전역세권,1,5000,0,0,0
BG020,여성가족위원회,여성가족부,가족센터 건립(지역 지원계정),충남 홍성군 가족통합 지원센터 건립,1,5000,0,0,1
BG021,여성가족위원회,여성가족부,가족센터 건립(지역 지원계정),충북 청주시 가족통합 지원센터 건립,1,5000,0,0,1
BG022,여성가족위원회,여성가족부,가족센터 건립(지역 지원계정),전남 신안군 가족통합 지원센터 건립,1,5000,0,0,1
BG023,여성가족위원회,여성가족부,가족센터 건립(지역 지원계정),경기 군포시 가족통합 지원센터 건립,1,5000,0,0,1
BG024,여성가족위원회,여성가족부,가족센터 건립(지역 지원계정),서울 광진구 가족통합 지원센터 건립,1,5000,0,0,1
BG025,산업통상자원중소벤처기업위원회,산업통상자원부,인천경제자유구역 전시 컨벤션센터건립(BTL),0,1,4943,0,0,0
BG026,국방위원회,방위사업청,전술지대지유도무기(R&D),0,0,4900,0,0,0
BG027,정무위원회,사회적참사 특별조사위원회,기관운영 기본경비(비총액),0,0,4532,0,1,0
BG028,정무위원회,사회적참사 특별조사위원회,세월호참사 진상규명 조사,0,0,4380,0,1,0
BG029,국방위원회,방위사업청,link-16 성능개량,0,0,4000,0,0,0
BG030,산업통상자원중소벤처기업위원회,산업통상자원부,자유무역지역경쟁력 강화사업,0,0,3500,0,0,0
BG031,국토교통위원회,국토교통부,일반철도안전및시설 개량,사후 환경 관리 (경부선 철도지하화 등 시설효율화연구용역),1,3500,0,1,0
BG032,교육위원회,교육부,국립대학 시설확충,전북대 치대3호관 대수선,1,3087,0,0,0
BG033,농림축산식품해양수산위원회,산림청,산림휴양등산증진,국립등산학교 인공 암벽장 조성,1,3000,0,0,0
BG034,산업통상자원중소벤처기업위원회,산업통상자원부,산업단지환경조성,활력 있고 아름다운 거리 조성,0,3000,0,0,0
BG035,문화체육관광위원회,문화체육관광부,아시아문화전당 콘텐츠 및 운영,광주 수영대회 연계 및 킬러콘텐츠 제작 지원,1,2900,0,0,0
BG036,국토교통위원회,국토교통부,주차환경개선지원,부산 수영구 호암골 공영주차장 조성,1,2900,0,0,1
BG037,농림축산식품해양수산위원회,해양경찰청,해양경찰서부정비창 신설,0,1,2818,0,1,0
BG038,보건복지위원회,보건복지부,장사시설설치,울진군립추모원 건립,1,2741,0,1,1
BG039,환경노동위원회,환경부,노후상수관망 정비(창원),0,1,2702,0,0,0
BG040,산업통상자원중소벤처기업위원회,산업통상자원부,심해해양 공학수조 기반구축 사업(R&D),0,1,2600,0,1,0
