id,sangim,sogwan,name,local,twoyear,black,budget,A,B,C,mom
BG001,보건복지위원회,보건복지부,아동수당 급여,0,0,0,235302000000,0,0,0,
BG002,교육위원회,교육부,국립대학 수익형 민간 투자사업(BTO)소송 관련 지급금,1,0,1,85000000000,0,0,0,
BG003,환경노동위원회,환경부,서울 노후하수관로 정비,1,1,0,39100000000,0,1,0,"<span>환경노동위원회 예산결산기금심사소위원회 제1차 (2018년 11월 13일)</span>
<br>
<br><span>환경부차관 박천규</span> 그다음 9페이지에 서울시 도로함몰예방사업 노후불량 하수관로 정비사업입니다. 400억 증액 의견을 주셨는데요. 서울시 국고보조에 규정되어 있지 않기 때문에 광역시 국고보조율 20%를 적용하는 게 적정해 보입니다. 그래
서 20%를 적용해서 금액을 산정하는 게 바람직하다고 생각합니다.
<br><span>임이자 위원</span> 그래서 그게 얼마냐고요.
<br><span>환경부차관 박천규</span> 266억 8000만 원입니다.
<br><span>소위원장 김동철</span> 400억이 아니고 266억?
<br><span>환경부차관 박천규</span> 예  266억 8000만 원입니다."
BG004,국토교통위원회,국토교통부,서울지하철 1-4호선 시설개량,1,1,0,30800000000,0,0,0,
BG005,교육위원회,교육부,사립대학 시간강사 처우개선,0,0,0,15233000000,0,0,0,
BG006,환경노동위원회,환경부,노후역사 환경개선공사,0,0,0,11500000000,0,0,0,
BG007,국토교통위원회,국토교통부,부산도시철도 1호선 시설개량,1,1,0,10600000000,0,0,0,
BG008,보건복지위원회,보건복지부,교사겸직원장 지원비,0,1,0,9267000000,0,0,0,
BG009,국토교통위원회,국토교통부,문산-도라산 고속도로,1,0,0,9200000000,0,0,0,
BG010,농림축산식품해양수산위원회,해양수산부,서귀포 크루즈항 건설,1,0,0,9000000000,0,0,0,
